Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,4,1,1,700,1,2,1,0,1.4657,9,6.997
1.3,3,1,1,3500,0.2,6,2,0,1.9034,9,7.111
1.3,6,0,1,950,0.1,2,3,0,1.6921,9,3.9971
1.3,8,1,1,350,1,10,1,0,1.0019,9,5.0528
1.3,8,1,1,2150,0.9,6,3,0,0.97923,9,5.1699
1.3,4,1,0,1450,0.5,6,3,0,1.2357,9,8.1936
1.3,2,1,1,2800,0.4,14,1,0,2.7388,9,7.4442
1.3,3,1,0,2450,0.8,12,2,0,1.6848,9,8.0129
1.3,7,0,1,1150,0.5,10,3,0,2.2917,9,2.5246
1.3,4,1,0,850,0.8,2,3,0,1.1686,9,8.6966
1.3,9,0,0,250,0.3,2,3,0,0.61982,9,7.2601
1.3,9,1,0,2600,0,12,2,0,0.68478,9,6.5715
1.3,7,0,0,2750,0,14,3,0,1.4554,9,3.9754
1.3,6,1,0,3450,1,4,1,0,0.80937,9,8.4081
1.3,2,1,1,1500,0.5,8,2,0,2.6825,9,7.5749
1.3,5,1,0,2900,0.8,16,2,0,1.143,9,7.0864
1.3,5,1,0,2000,0.1,4,2,0,0.96826,9,8.3824
1.3,5,1,1,3900,0.8,16,1,0,1.4135,9,5.7305
1.3,10,0,0,3900,0.5,2,3,0,2.2461,9,1.8031
1.3,1,1,1,1650,0.7,6,1,0,4.8901,9,8.3936
1.3,9,0,1,2750,0.1,10,3,0,4.6195,9,0.97414
1.3,4,0,1,400,0.6,8,1,0,1.5235,9,6.6848
1.3,2,0,1,2300,0,14,2,0,3.162,9,6.4042
1.3,10,0,0,2850,0.9,8,1,0,2.1875,9,1.8514
1.3,7,0,0,4000,0.2,14,1,0,1.8281,9,3.1648
1.3,8,1,0,1750,0.1,8,2,0,0.68902,9,7.3474
1.3,4,1,0,4000,0,14,2,0,1.3389,9,7.5621
1.3,6,0,0,2100,0.8,8,2,0,1.549,9,4.3576
1.3,7,1,0,2850,0.4,4,3,0,0.72001,9,8.0357
1.3,2,0,0,1850,0.9,14,2,0,2.6677,9,7.5909
1.3,3,0,0,2900,0.5,6,3,0,1.9945,9,6.7687
1.3,2,0,1,1850,1,14,3,0,3.2813,9,6.1712
1.3,3,0,1,1900,0.2,12,2,0,2.6208,9,5.1511
1.3,6,0,0,1250,0.9,6,3,0,1.282,9,5.2653
1.3,7,0,1,1650,1,4,1,0,3.1758,9,1.8342
1.3,9,1,1,3150,0.4,2,3,0,0.84958,9,5.2968
1.3,2,0,1,3800,0.8,10,1,0,3.9098,9,5.2273
1.3,7,1,1,3650,0.1,2,2,0,0.98799,9,5.8797
1.3,9,0,1,200,0.3,4,3,0,0.87813,9,5.1245
1.3,1,1,1,1500,1,14,2,0,5.0199,9,8.1004
1.3,5,0,0,350,0.9,2,1,0,1.0259,9,7.9915
1.3,10,0,1,3800,0,4,1,0,6.3362,9,0.64137
1.3,8,0,0,3050,0.8,6,1,0,1.9641,9,2.5806
1.3,6,0,0,2400,0,12,3,0,1.3827,9,4.8818
1.3,1,0,0,900,0,6,3,0,4.627,9,8.7922
1.3,6,0,1,1500,0.1,10,2,0,2.3306,9,2.8963
1.3,6,0,0,200,0.1,10,1,0,0.91468,9,7.3797
1.3,5,1,1,3950,0.9,4,1,0,1.2654,9,6.4606
1.3,9,0,1,2900,0.3,8,1,0,5.0817,9,0.88553
1.3,9,0,1,1350,0.4,14,2,0,2.8687,9,1.5687
1.3,6,1,0,3350,1,14,3,0,0.99503,9,6.7837
1.3,8,1,1,3100,0.1,14,3,0,1.1135,9,4.5464
1.3,5,1,1,2850,0.7,16,3,0,1.4846,9,5.456
1.3,8,0,1,650,0.4,14,3,0,1.7192,9,2.9446
1.3,6,1,1,550,0.7,10,2,0,1.2117,9,5.5709
1.3,1,1,0,500,0.6,8,2,0,4.6265,9,8.8083
1.3,9,0,0,950,0.7,6,1,0,1.0128,9,4.4431
1.3,6,0,1,2700,1,10,1,0,4.3547,9,1.55
1.3,5,0,1,950,0.1,4,1,0,1.709,9,4.7836
1.3,4,0,1,2300,1,10,1,0,3.2195,9,3.1556
1.3,2,1,1,1750,0.2,8,2,0,2.6825,9,7.5749
1.3,1,1,0,3600,0.9,2,1,6.9333e-06,4.5722,9,8.9792
1.3,5,1,1,3900,0.6,6,3,0,1.3167,9,6.1516
1.3,5,1,0,350,0.1,10,2,0,1.0556,9,7.673
1.3,5,1,0,450,0.2,4,3,0,0.97715,9,8.2894
1.3,10,0,0,2600,0.1,10,2,0,1.4544,9,2.7847
1.3,4,1,0,2250,0.5,2,1,0,1.1597,9,8.8432
