Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,100,1984,10,0,0.18706,10,-0.22892
1.2,92,1280,1,4.4427e-17,0.22643,10,-0.12209
1.2,1,7680,5,0,0.17665,10,-0.014044
1.2,45,1728,4,0,0.19693,10,-0.098033
1.2,52,192,10,0,0.17653,10,-0.010789
1.2,49,704,5,5.6505e-17,0.17782,10,-0.044654
1.2,23,1472,2,4.4446e-17,0.22195,10,-0.038895
1.2,27,4352,8,0,0.18615,10,-0.1642
1.2,33,192,1,0,0.22039,10,-0.0054412
1.2,95,192,9,0,0.18418,10,-0.018527
1.2,34,192,5,0,0.1764,10,-0.0070582
1.2,26,1984,7,0,0.19157,10,-0.069162
1.2,44,1088,9,0,0.18596,10,-0.062271
1.2,88,5888,7,0,0.22155,10,-0.44013
1.2,24,1664,6,0,0.18569,10,-0.055928
1.2,82,192,9,0,0.18408,10,-0.016044
1.2,63,576,8,0,0.18059,10,-0.044712
1.2,61,5376,1,0,0.24092,10,-0.30748
1.2,88,3072,6,0,0.19926,10,-0.28907
1.2,11,1152,7,5.6311e-17,0.18939,10,-0.017308
1.2,94,128,6,0,0.18393,10,-0.012006
1.2,45,9984,2,2.7984e-17,0.2501,10,-0.38524
1.2,79,704,5,5.6505e-17,0.17884,10,-0.069803
1.2,97,320,5,4.4484e-17,0.17749,10,-0.036372
1.2,13,3648,8,6.3635e-17,0.18183,10,-0.074515
1.2,87,320,6,1.0039e-16,0.1847,10,-0.0317
1.2,18,832,8,0,0.17965,10,-0.020463
1.2,20,192,3,0,0.18363,10,-0.0039113
1.2,71,576,6,0,0.1854,10,-0.048989
1.2,18,6464,9,0,0.19105,10,-0.16655
