Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,9,0,0,10000,1,2,3,0,436.2007,0,-2.818602e-10
1.3,5,0,0,1100,0.5,2,2,0.000312,19.8011,0,8.9174e-08
1.3,1,0,0,8600,0.3,4,2,5.28e-05,26.7047,0,3.85604e-07
1.3,4,0,0,1250,0.9,6,1,5.76e-05,23.1026,0,1.08672e-07
1.3,10,0,1,2500,0,2,3,0,60.0694,0,-3.13283e-10
1.3,5,0,1,3550,0.3,6,1,0.000216,55.8546,0,8.60133e-08
1.3,2,0,1,8100,0.8,2,1,0.0007968,70.5571,0,3.03013e-07
1.3,2,1,1,700,1,2,2,0.0001056,0.011079,0,2.0156e-07
1.3,4,0,0,1350,0.2,2,3,5.76e-05,15.6012,0,5.26996e-08
1.3,1,1,0,3700,1,2,3,7.2e-05,0.0037144,0,3.1305e-07
1.3,5,0,0,2000,0.9,6,1,0.000216,45.9022,0,8.60133e-08
1.3,7,1,1,7150,0.3,4,3,0,0.010217,0,-2.1878e-10
1.3,10,1,0,2900,1,2,2,0.000288,0.00096363,0,4.1756e-08
1.3,3,1,0,1150,0.6,6,2,0.0001296,0.0025537,0,5.7462e-08
1.3,3,0,0,650,0.1,6,2,0.0001296,5.1023,0,5.7462e-08
1.3,9,0,0,800,0,2,2,0.0003888,17.4008,0,5.73033e-08
1.3,6,1,1,3000,0.1,6,1,0.0002592,0.010699,0,6.5182e-08
1.3,4,0,1,600,0.8,2,1,0.0002112,10.5099,0,1.84251e-07
1.3,1,0,0,950,0.9,2,1,0.000744,4.2075,0,6.2905e-07
1.3,8,1,1,1400,0.7,2,1,0.000192,0.009866,0,8.691e-08
1.3,4,0,1,4550,0,2,1,0.0002112,43.852,0,1.84251e-07
1.3,10,1,0,3900,0.7,6,3,0,0.002464,0,-3.1328e-10
1.3,8,1,0,7150,0.2,4,1,0.0004224,0.0016512,0,8.3253e-08
1.3,8,1,1,6950,0,6,2,0,0.010667,0,-2.5042e-10
1.3,4,1,0,900,0.2,2,1,0.0002112,0.0022203,0,1.8425e-07
1.3,4,1,0,600,0,8,3,0,0.003208,0,-1.2506e-10
1.3,2,1,0,700,0.7,2,1,0.0007968,0.0040079,0,3.0301e-07
1.3,2,0,0,600,0,2,2,0.0001056,3.0024,0,2.0156e-07
1.3,4,1,0,800,0.8,8,1,0.0002112,0.0030761,0,9.6482e-08
1.3,5,0,0,1850,0.9,8,1,0.000144,42.6025,0,4.9976e-08
1.3,1,0,1,8100,0.3,4,1,0.0003984,25.2314,0,6.6532e-07
1.3,8,1,1,8600,0,10,2,0,0.011962,0,-2.5042e-10
1.3,3,0,1,7400,0.8,10,2,0,96.9763,0,-9.37648e-11
1.3,2,0,0,550,0.3,2,1,0.0007968,3.3038,0,3.0301e-07
1.3,4,1,0,900,0.5,4,3,1.92e-05,0.0017755,0,8.6404e-09
1.3,3,1,1,5000,0.3,8,1,4.32e-05,0.012146,0,1.4124e-07
1.3,7,0,0,600,0,14,2,0,10.2045,0,-2.18784e-10
1.3,8,1,1,1300,0.9,4,1,0.0004224,0.010151,0,8.3253e-08
1.3,9,1,0,4300,0.4,2,2,0.0003888,0.0010021,0,5.7303e-08
1.3,3,0,1,1300,0.1,16,1,1.44e-05,10.2155,0,2.10104e-08
1.3,4,0,1,1550,1,4,2,0.0002112,30.0229,0,6.64972e-08
1.3,2,0,0,950,1,2,3,6.72e-05,9.0019,0,1.4005e-07
1.3,9,0,0,1400,0.4,2,3,0,42.6007,0,-2.8186e-10
1.3,2,0,1,2250,0,2,2,0.0001056,10.8147,0,2.01555e-07
1.3,10,0,1,500,0.1,12,1,0,13.2174,0,-3.13283e-10
1.3,1,1,0,950,0.9,6,2,3.36e-05,0.0052718,0,3.4895e-07
1.3,5,0,0,7150,1,8,1,0.000144,173.4025,0,4.997599e-08
1.3,6,0,0,3900,1,8,3,0,113.403,0,-1.879068e-10
1.3,3,0,0,8350,0.1,4,2,4.32e-05,66.002,0,8.52633e-08
1.3,3,0,0,1500,0.1,12,2,0,12.0039,0,-9.37648e-11
1.3,7,0,0,550,0.5,2,3,0.0001344,13.8008,0,2.30047e-08
1.3,8,0,1,4550,0.6,6,1,3.84e-05,140.8165,0,1.133033e-08
1.3,4,0,0,3550,0.6,16,2,0,54.9052,0,-1.25056e-10
1.3,8,1,0,2350,0.4,2,1,0.000192,0.001366,0,8.691e-08
1.3,5,1,0,1150,0.4,4,3,0,0.0017162,0,-1.5636e-10
1.3,3,0,0,1200,0.9,2,3,0.0001008,16.5014,0,8.57173e-08
1.3,9,1,0,2250,0.7,6,3,0,0.0024637,0,-2.8186e-10
1.3,8,1,0,5800,0,4,2,0,0.0015196,0,-2.5042e-10
1.3,8,0,1,7150,0.7,8,2,0,235.0868,0,-2.504152e-10
1.3,5,1,1,6000,0,2,2,0.000312,0.0098632,0,8.9174e-08
1.3,9,0,1,3350,0.7,12,3,0,124.0016,0,-2.818602e-10
1.3,3,0,0,4300,0.1,2,2,0.0001008,34.2017,0,1.26188e-07
1.3,5,0,1,600,0.1,8,2,0,7.811,0,-1.5636e-10
1.3,4,1,1,9150,0.6,2,1,0.0002112,0.01072,0,1.8425e-07
1.3,7,1,0,8850,0.3,2,1,0.0004368,0.0014863,0,1.2755e-07
1.3,2,1,1,2900,0,2,3,6.72e-05,0.010663,0,1.4005e-07
1.3,4,1,0,4050,0.2,2,2,9.6e-05,0.0015701,0,8.8222e-08
1.3,10,1,1,6750,0.2,2,3,0,0.0094718,0,-3.1328e-10
1.3,6,1,0,6550,0.9,2,2,8.64e-05,0.0012341,0,4.9691e-08
1.3,10,0,1,2500,0.4,2,2,0.000288,84.3762,0,4.17563e-08
1.3,9,1,0,750,0,2,2,0.0003888,0.0010021,0,5.7303e-08
1.3,9,1,1,4850,0.1,14,2,0,0.013257,0,-2.8186e-10
1.3,6,1,1,1350,0.5,2,2,8.64e-05,0.0097341,0,4.9691e-08
1.3,5,0,1,7400,0.4,2,1,0.00012,124.9133,0,1.350782e-07
1.3,1,0,0,2650,0.6,2,3,7.2e-05,10.2035,0,3.13045e-07
1.3,7,1,0,2350,0.8,4,3,0,0.0017169,0,-2.1878e-10
1.3,10,0,1,2000,0.6,2,3,0,77.4638,0,-3.13283e-10
1.3,1,0,1,5000,0.5,2,1,0.000744,18.0229,0,6.29054e-07
1.3,1,1,1,1900,1,10,2,6.24e-05,0.014419,0,2.8022e-07
1.3,2,0,1,1300,0.8,2,3,6.72e-05,11.1104,0,1.40046e-07
1.3,1,1,0,9700,0.6,2,2,0.0003984,0.0046892,0,3.8446e-07
1.3,10,1,0,3550,0.4,2,3,0,0.00097178,0,-3.1328e-10
1.3,6,0,1,6750,0,6,3,0,97.3135,0,-1.87907e-10
1.3,4,1,0,1900,0,12,3,0,0.0047003,0,-1.2506e-10
1.3,5,1,1,1700,0.2,12,3,0,0.013201,0,-1.5636e-10
1.3,2,0,0,900,0.9,8,1,4.8e-05,8.1046,0,2.6858e-07
1.3,5,1,0,3000,0.2,2,1,0.00012,0.0018696,0,1.3508e-07
1.3,8,0,0,2150,0.2,2,2,0.0004224,49.5008,0,6.82607e-08
1.3,8,0,1,1300,0.3,2,3,3.84e-05,32.4314,0,7.3323e-09
1.3,3,1,0,3150,0.3,4,2,4.32e-05,0.0022429,0,8.5263e-08
1.3,1,0,0,7850,0.7,2,2,0.0003984,32.4045,0,3.84459e-07
1.3,4,0,1,5450,0.5,10,2,0,78.9705,0,-1.25056e-10
1.3,8,0,1,4850,0,8,3,0,93.1095,0,-2.50415e-10
1.3,4,0,1,650,0.6,12,2,0,9.912,0,-1.2506e-10
1.3,1,0,1,1100,0.9,4,1,0.0003984,5.1113,0,6.6532e-07
1.3,2,1,1,3700,0.1,10,2,5.76e-05,0.012413,0,5.6686e-08
1.3,7,1,0,3050,0,2,3,0.0001344,0.0010454,0,2.3005e-08
1.3,6,1,0,3250,0,6,1,0.0002592,0.0021991,0,6.5182e-08
1.3,7,1,1,1350,0.5,2,2,0.0002016,0.0096309,0,5.0952e-08
1.3,10,1,0,3000,0.6,4,1,0.000288,0.0014764,0,4.8753e-08
