e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,16,7,1,1,600,320,3.125,0.00192394
1,100,1,1,1,50,64,15.625,4.84253e-05
1,32,3,1,1,300,24,41.66667,0.0001144672
1,50,7,1,1,50,340,2.97619,0.0001737776
1,400,7,1,1,4,410,2.45098,1.965111e-05
1,24,2,1,1,180,48,20.83333,0.000108034
1,24,0.8,1,1,50,300,3.378378,0.0001541796
1,1000,0.3,1,1,100,128,7.8125,0.0001366135
1,120,2,1,1,8,360,2.777778,3.237801e-05
1,500,2,1,1,2,340,2.97619,1.057624e-05
1,16,9,1,1,600,16,62.5,0.0001593008
1,8,0.3,1,1,300,360,2.777778,0.001083586
1,600,4,1,1,600,410,2.45098,0.001233261
1,400,9,1,1,400,164,6.25,0.0006630552
1,24,6,1,1,1,380,2.659574,1.485967e-05
1,8,10,1,1,1000,192,5.208333,0.001926024
1,300,5,1,1,220,16,62.5,9.850028e-05
1,50,10,1,1,32,24,41.6667,5.01467e-05
1,12,2,1,1,800,64,15.625,0.0005284291
1,700,4,1,1,400,320,3.125,0.0006439301
1,600,6,1,1,1,360,2.777778,8.977821e-06
1,24,5,1,1,50,340,2.97619,0.0001737776
1,16,1,1,1,50,48,20.8333,4.56335e-05
1,16,5,1,1,2,192,5.208333,1.368839e-05
1,16,5,1,1,120,12,125,0.0001402001
1,500,10,1,1,700,12,125,0.0002098007
1,500,1,1,1,24,16,62.5,7.098006e-05
1,100,7,1,1,120,300,3.378378,0.0003641813
1,8,2,1,1,50,164,6.25,8.905066e-05
1,8,4,1,1,12,24,41.6667,4.82267e-05
1,24,1,1,1,50,164,6.25,8.905066e-05
1,300,0.5,1,1,120,16,62.5,8.250015e-05
1,400,6,1,1,800,8,125,0.0001898005
1,100,0.8,1,1,100,360,2.777778,0.0003635807
1,32,5,1,1,120,192,5.208333,0.0002364102
1,800,0.1,1,1,600,380,2.659574,0.002283478
1,16,9,1,1,600,300,3.378378,0.001804193
1,12,0.5,1,1,800,192,5.208333,0.001542021
1,32,0.8,1,1,700,340,2.97619,0.002383795
1,12,9,1,1,800,360,2.777778,0.002883601
1,24,0.8,1,1,600,410,2.45098,0.002463271
