Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,9,1,0,8400,10,0.1,4400,42,10,2,1,0.0022523,2.7049,0,2.8305e-05
2.1,7,1,1,6800,2,0.2,2950,87,2,8,2,0,1.4506,0,0.00013158
2.1,2,0,0,1150,6,0.3,2550,51,6,2,3,0.00062023,0.88105,0,6.8636e-05
2.1,10,1,1,6150,1,0.6,2700,129,5,2,1,0.00058778,1.3901,0,0.00012634
2.1,2,0,1,1950,9,0.2,3600,210,10,4,3,,1.8612,0,
2.1,3,0,1,9300,3,0.1,1500,20,6,2,3,0.0014112,1.697,0,0.00015435
2.1,3,1,0,8300,8,0.8,7900,26,8,2,3,0.0014112,4.7194,0,5.0009e-05
2.1,7,0,0,2000,6,0.2,3100,10,9,4,2,0,0.87778,0,3.1329e-05
2.1,3,1,0,8550,2,0.2,4500,25,1,2,3,0.0014112,0.8436,0,5.0006e-05
2.1,2,1,1,7050,6,0.1,4150,142,7,8,3,3.2012e-05,1.8664,0,0.00016947
2.1,3,1,1,8050,4,0.1,6350,72,10,2,3,0.0004176,1.6492,0,0.00014988
2.1,4,1,1,2250,8,0.6,5800,359,2,4,2,0.00056769,1.5685,0,0.00014252
2.1,9,0,0,8800,4,0.8,6400,38,9,2,1,0.0022523,6.5364,0,2.807e-05
2.1,8,1,0,5100,4,0.4,3650,295,3,10,1,0,1.968,0,2.8913e-05
2.1,6,1,1,1400,10,0.9,3000,75,1,2,2,0.0005184,1.4692,0,0.00013352
2.1,7,1,0,6750,8,0.6,6400,31,2,6,3,0,6.3523,0,3.1604e-05
2.1,10,1,1,2350,9,0.4,6850,96,3,2,2,0.0005889,1.39,0,0.00012629
2.1,10,1,1,9500,4,0.8,7650,129,7,4,2,0,1.3903,0,0.00012623
2.1,3,1,0,2400,3,0.3,3750,44,9,4,1,0.0011712,0.71623,0,5.0111e-05
2.1,9,1,1,550,4,0.1,5550,101,2,2,2,0.00083839,1.409,0,0.00012808
2.1,10,1,0,6150,3,0.8,3950,10,8,8,3,0,3.4852,0,2.6263e-05
2.1,1,0,0,4250,10,0.1,8450,864,3,2,3,0.00011502,1.4345,0,0.00011672
2.1,8,0,0,6350,1,0.2,5050,17,5,2,2,0.0018432,0.66264,0,2.8929e-05
2.1,8,1,1,8300,4,1,7500,8,7,2,2,0.0008448,1.4201,0,0.00012907
2.1,3,0,0,3800,10,0.4,3000,416,2,2,2,0.0002457,1.8518,0,4.9208e-05
2.1,2,0,0,7900,10,0.4,8000,326,5,4,2,0.00010289,2.5887,0,6.8577e-05
2.1,10,0,0,2400,6,0.6,8500,557,8,8,1,0,2.9002,0,2.5999e-05
2.1,6,1,1,8050,2,0.7,8700,22,8,2,2,0.0021024,1.4694,0,0.00013373
