Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,5,1,0,8300,5,0.4,9750,72,7,96,320,5.18713996285e-17,28147500.2223,0,-3127.4997052
2.2,2,0,1,4050,3,0.7,9950,173,9,76,960,0,1.9081,0,0.00017344
2.2,4,0,1,4700,2,0.1,5450,268,10,46,3776,0,1.5927,0,0.00014961
2.2,5,1,1,7900,7,0.4,6450,18,3,40,1024,0,1.4979,0,0.00013614
2.2,7,0,0,2850,4,0.1,7650,310,1,88,5184,4.45916717205e-17,19703249.0545,0,2189.24985011
2.2,5,0,1,3200,2,0.2,7200,15,9,77,448,4.4548e-17,1.5485,0,0.00014066
2.2,9,1,1,5200,5,0.7,8450,28,3,32,3776,0,1.4111,0,0.00012818
2.2,8,1,0,9100,10,0.8,7600,75,4,85,576,4.07078090963e-17,90072008.4228,0,-10007.999143
2.2,9,0,1,4500,6,1,7800,44,9,94,2432,0,1.4647,0,0.00013299
2.2,5,1,1,2650,4,0.8,8400,243,2,93,2432,5.0823e-17,1.4984,0,0.00013602
2.2,5,1,0,800,4,0.8,5800,16,4,79,128,0,0.69711,0,3.6069e-05
2.2,8,0,1,9400,1,0.9,6450,111,10,79,3200,3.579e-17,1.4611,0,0.00013511
2.2,10,1,1,7900,4,0.6,9200,15,7,66,1216,0,1.392,0,0.00012635
2.2,6,1,1,5800,6,0.9,5700,16,5,2,4352,0,1.4687,0,0.00013346
2.2,8,1,0,5900,3,0.2,7950,17,6,68,9152,0,1.1561,0,3.0853e-05
2.2,9,0,1,4450,4,0.4,3900,677,8,31,128,0,1.4608,0,0.00013271
2.2,4,1,0,6350,4,0.3,9200,27,4,58,6720,0,1.2788,0,4.3044e-05
2.2,2,1,1,8700,4,0.9,6500,65,1,91,128,0,1.8641,0,0.00016942
2.2,4,1,1,8600,7,0.5,7950,359,10,70,2112,0,1.5432,0,0.00014509
2.2,7,0,0,8450,2,0.8,8650,16,1,34,128,0,2.1842,0,3.1293e-05
2.2,7,1,1,2350,2,0.3,2950,907,3,8,256,0,1.4478,0,0.00013151
2.2,9,1,1,5600,1,0.9,4250,243,7,2,192,5.11793591013e-17,12666375.3605,0,1407.37501146
2.2,6,1,1,5050,5,0.8,7350,59,9,5,256,0,1.4679,0,0.00013343
2.2,10,1,0,9350,7,0.3,6300,677,1,46,128,0,5.6828,0,2.6205e-05
2.2,4,1,1,1350,5,1,4350,645,3,45,1728,3.56e-17,1.5675,0,0.0001424
2.2,1,1,1,2750,3,0.2,9850,1000,4,97,1472,3.52220488007e-17,11259001.4721,0,-1250.99967809
2.2,4,0,0,7100,8,1,5350,117,9,40,6144,0,6.6155,0,4.2028e-05
2.2,5,1,1,7950,1,1,2950,117,7,27,704,0,1.4969,0,0.00013599
2.2,8,1,1,5200,7,1,5000,17,10,37,2432,0,1.4218,0,0.00012915
2.2,8,0,1,1250,6,0.5,2600,481,9,69,448,0,1.4714,0,0.00013363
2.2,4,0,1,1200,6,0,2150,165,8,70,384,0,1.6167,0,0.0001469
2.2,10,0,1,5500,9,0.2,4350,79,6,33,384,0,1.4424,0,0.00013093
2.2,10,1,1,6200,7,0.9,7550,557,5,3,2368,0,1.3889,0,0.00012619
2.2,6,0,0,3250,5,0.9,8200,65,6,98,2048,0,2.7829,0,3.3255e-05
2.2,5,1,1,9750,4,0.5,7300,135,10,85,2432,0,1.4783,0,0.00013823
2.2,8,0,0,7300,2,0.3,1950,16,10,22,1600,0,1.2273,0,2.8752e-05
2.2,2,0,1,9500,4,0.8,4550,68,10,86,192,0,1.9081,0,0.00017344
2.2,8,1,1,5350,9,0.3,1700,87,6,23,704,4.9259e-17,1.419,0,0.00012888
