Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,5,1,1,5650,0.7,4,2,0.000144,0.0102,0,3.5983e-08
1.3,10,1,1,1050,0.3,2,3,0,0.0094718,0,-3.1328e-10
1.3,8,0,0,500,0.6,4,3,0,15.3015,0,-2.50415e-10
1.3,7,1,1,900,1,16,1,0,0.013113,0,-2.1878e-10
1.3,1,1,1,2350,0,8,1,5.28e-05,0.01671,0,6.4947e-07
1.3,4,0,1,4300,0.6,2,2,9.6e-05,66.3555,0,8.82216e-08
1.3,3,1,1,2900,0.7,10,1,0.0001296,0.012399,0,1.1792e-07
1.3,9,0,1,8350,0.2,4,2,0,216.8178,0,-2.818602e-10
1.3,5,1,1,7600,0.5,2,2,0.000312,0.0098632,0,8.9174e-08
1.3,9,1,0,600,0.1,12,2,0,0.0041093,0,-2.8186e-10
