Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,75,7360,0,1,4050,0.1,6,0,64.8548,0,-4.57537e-10
1.4,98,4352,0,1,7400,0.5,1,0,27.1994,0,-6.56191e-11
1.4,99,128,1,0,4050,0.6,4,0,0.00069804,0,2.8808e-11
1.4,3,9984,0,1,5650,0.3,7,7.371932e-17,123.7401,0,-5.788242e-10
1.4,73,4928,0,1,3050,0.2,6,0,52.9798,0,-4.12384e-10
1.4,54,128,0,0,4300,0.8,8,0,155.5313,0,-6.482409e-11
1.4,48,3200,1,0,2250,0.9,5,0,0.009448,0,-3.1089e-10
1.4,81,256,0,1,1600,0.3,4,0,20.8863,0,-6.89732e-11
1.4,19,6720,0,1,950,0.3,9,0,27.2407,0,-6.86028e-10
1.4,39,768,0,1,7150,0.9,10,0,331.0125,0,-4.111182e-10
1.4,30,128,1,1,3250,0.2,8,0,0.0078553,0,-6.4824e-11
1.4,16,832,0,1,700,1,1,4.4416e-17,3.3934,0,-2.9158e-11
1.4,28,3776,1,1,700,0.3,5,0,0.018811,0,-3.2068e-10
1.4,48,1792,1,0,3450,0.4,3,0,0.0049582,0,-1.5503e-10
1.4,11,1536,0,0,1150,1,3,0,16.8727,0,-1.4319e-10
1.4,91,2560,1,0,6550,0,10,0,0.013825,0,-6.0752e-10
1.4,67,6720,1,1,6950,1,9,0,0.0295,0,-6.8603e-10
1.4,19,576,1,0,3350,0.8,4,0,0.00073817,0,-1.2927e-10
1.4,25,448,1,0,500,1,2,4.443e-17,0.00073151,0,-3.7854e-11
1.4,67,128,1,1,1950,0.4,6,0,0.0080284,0,-1.7195e-11
1.4,24,704,0,0,750,1,10,0,36.9691,0,-3.99141e-10
1.4,54,1856,1,1,600,0.4,6,0,0.01696,0,-3.1887e-10
1.4,77,2688,1,1,700,0,4,0,0.024203,0,-2.3889e-10
1.4,66,384,0,0,950,1,9,4.45064e-17,41.6521,0,-2.64296e-10
1.4,91,576,0,0,5150,0.6,10,5.745616e-17,201.7542,0,-3.67e-10
1.4,44,192,1,0,9150,0.4,8,0,0.00055058,0,-1.2881e-10
1.4,5,704,0,1,650,0.1,3,5.6018e-17,5.1996,0,-1.0362e-10
1.4,65,8768,0,0,2900,0.1,2,0,15.5596,0,-1.58546e-10
1.4,64,576,0,0,4550,0,8,0,88.5534,0,-2.86366e-10
1.4,93,2432,1,0,5150,0.5,5,4.446e-17,0.013043,0,-2.8385e-10
1.4,91,3456,1,0,2050,0.6,8,0,0.019102,0,-5.182e-10
1.4,18,2816,0,0,2800,0,4,4.44528e-17,27.3972,0,-2.39282e-10
1.4,95,576,0,1,2150,1,2,0,21.3186,0,-5.12326e-11
1.4,34,768,1,0,2500,0.8,10,0,0.0014904,0,-4.1112e-10
1.4,31,640,0,1,1550,0.7,7,0,46.2316,0,-2.65931e-10
1.4,19,4160,1,1,6000,0.6,8,0,0.017688,0,-5.4626e-10
1.4,4,128,1,0,1000,0.2,8,0,0.00025323,0,-6.4824e-11
1.4,35,256,0,1,4150,0.9,10,0,198.5265,0,-2.565388e-10
1.4,6,1344,1,0,6350,0.4,10,0,0.00066317,0,-4.9983e-10
1.4,55,2560,1,0,9700,0.3,2,0,0.0084431,0,-1.2211e-10
1.4,86,4736,0,1,8600,0.3,6,0,162.9601,0,-4.073154e-10
1.4,39,832,1,0,2150,0.9,9,4.4468e-17,0.0018554,0,-3.8229e-10
1.4,35,192,0,1,750,0.4,2,0,5.1339,0,3.0437e-11
1.4,46,704,1,1,550,0.4,8,4.4507e-17,0.011656,0,-3.1324e-10
1.4,21,256,1,0,2700,0.7,8,0,0.00045823,0,-1.864e-10
1.4,64,2368,0,0,1700,0.8,10,0,74.6712,0,-5.74104e-10
1.4,81,320,1,0,950,0.1,10,0,0.0013582,0,-2.806e-10
1.4,40,576,0,1,1150,0.5,9,0,38.0711,0,-3.25602e-10
1.4,23,832,1,1,4050,0.7,7,4.452e-17,0.011405,0,1.4774e-09
1.4,98,1088,1,1,600,0.2,7,0,0.01628,0,-3.2094e-10
1.4,42,128,0,0,2900,1,1,0,14.3377,0,9.65064e-11
1.4,6,2112,0,0,3700,0.7,7,5.679122e-17,108.6062,0,-3.949308e-10
1.4,86,192,0,1,1500,1,2,0,14.4931,0,3.04369e-11
